repo,operational_roles,autonomy_level,target_users,description
opencode-ai/opencode,coding,semi-autonomous,Developers wanting a fast terminal AI coding assistant with plugin support,Open-source Go-based terminal AI coding agent with TUI and support for 75+ LLM providers
bytebot-ai/bytebot,"enterprise, infra/ops",fully autonomous,Business teams automating multi-application desktop workflows at scale,Self-hosted AI desktop agent automating workflows in a containerized Linux environment (archived)
qodo-ai/pr-agent,coding,semi-autonomous,Development teams using GitHub GitLab Bitbucket or Azure DevOps,AI-powered open-source tool for automated pull request review description and suggestions
OthersideAI/self-operating-computer,"personal, framework/platform",semi-autonomous,AI researchers and enthusiasts experimenting with computer-use agents,Framework enabling multimodal AI to operate a computer via screen capture and mouse/keyboard control
anthropics/claude-code,coding,semi-autonomous,Software developers using terminal and IDE workflows,Anthropic's agentic terminal coding tool with permission rules and subagent orchestration
qwibitai/nanoclaw,personal,semi-autonomous,Individual users wanting a lightweight personal AI assistant on messaging apps,Lightweight personal AI assistant connecting WhatsApp Telegram Slack and Discord
openclaw/openclaw,"personal, framework/platform",semi-autonomous,Power users and developers wanting a self-hosted always-on AI assistant,Self-hosted personal AI gateway connecting 50+ messaging platforms with persistent memory and skills marketplace
RightNow-AI/openfang,"framework/platform, personal, infra/ops",fully autonomous,Developers and power users wanting an agent operating system,Open-source Agent OS in Rust with autonomous agents running scheduled background tasks
Significant-Gravitas/AutoGPT,"framework/platform, personal",semi-autonomous,Developers and general users building autonomous AI workflows,Platform for creating deploying and managing continuous AI agents with visual workflow builder and marketplace
HKUDS/nanobot,personal,semi-autonomous,Individual users wanting a minimal cross-platform personal AI assistant,Ultra-lightweight Python personal AI agent across messaging platforms inspired by OpenClaw
zeroclaw-labs/zeroclaw,"personal, infra/ops",fully autonomous,Privacy-focused individuals wanting fully autonomous self-hosted AI assistance,Self-hosted fully autonomous AI personal assistant in Rust across 20+ messaging platforms
google-gemini/gemini-cli,coding,supervised,Terminal developers and CI/CD pipeline operators,Google's open-source terminal AI coding agent with Trusted Folders and sandboxing documentation
microsoft/UFO,"enterprise, framework/platform",semi-autonomous,Researchers and enterprise teams building Windows GUI automation,Microsoft Research multi-agent framework for Windows desktop automation and cross-device orchestration
lavague-ai/LaVague,framework/platform,semi-autonomous,Developers and QA engineers building AI web browser automation,Open-source Large Action Model framework for building web browser agents using exec()
huggingface/smolagents,"framework/platform, coding",semi-autonomous,AI/ML developers building lightweight agent-based applications,Minimal Python library for building LLM-powered agents that write and execute code as their reasoning medium
crewAIInc/crewAI,"framework/platform, enterprise",semi-autonomous,Developers and enterprises building multi-agent collaborative workflows,Framework for orchestrating teams of role-playing autonomous AI agents with delegation and memory
n8n-io/n8n,"enterprise, infra/ops, framework/platform",semi-autonomous,Technical teams and enterprises automating complex workflows,Fair-code visual workflow automation platform with 400+ integrations and native AI agent nodes
langgenius/dify,"framework/platform, enterprise, client-facing",semi-autonomous,Developers and businesses building production LLM applications and chatbots,Open-source platform for building deploying and managing production LLM apps and agentic workflows
karpathy/autoresearch,coding,fully autonomous,ML researchers with NVIDIA GPUs wanting overnight autonomous experimentation,Autonomous AI agent that proposes trains evaluates and iterates ML experiments on a single GPU
